Date;Population, total;Population growth (annual %);Surface area (sq. km);Population density (people per sq. km of land area);Poverty headcount ratio at national poverty lines (% of population);Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population);GNI, Atlas method (current US$);GNI per capita, Atlas method (current US$);GNI, PPP (current international $);GNI per capita, PPP (current international $);Income share held by lowest 20%;Life expectancy at birth, total (years);Fertility rate, total (births per woman);Adolescent fertility rate (births per 1,000 women ages 15-19);Contraceptive prevalence, any method (% of married women ages 15-49);Births attended by skilled health staff (% of total);Mortality rate, under-5 (per 1,000 live births);Prevalence of underweight, weight for age (% of children under 5);Immunization, measles (% of children ages 12-23 months);Primary completion rate, total (% of relevant age group);School enrollment, primary (% gross);School enrollment, secondary (% gross);School enrollment, primary and secondary (gross), gender parity index (GPI);Prevalence of HIV, total (% of population ages 15-49);Forest area (sq. km);Terrestrial and marine protected areas (% of total territorial area);Annual freshwater withdrawals, total (% of internal resources);Urban population growth (annual %);Energy use (kg of oil equivalent per capita);CO2 emissions (metric tons per capita);Electric power consumption (kWh per capita);GDP (current US$);GDP growth (annual %);Inflation, GDP deflator (annual %);Agriculture, forestry, and fishing, value added (% of GDP);Industry (including construction), value added (% of GDP);Gross capital formation (% of GDP);Revenue, excluding grants (% of GDP);Time required to start a business (days);Domestic credit provided by financial sector (% of GDP);Tax revenue (% of GDP);Mobile cellular subscriptions (per 100 people);High-technology exports (% of manufactured exports);Statistical Capacity Score (Overall Average) (scale 0 - 100);Net barter terms of trade index (2015 = 100);External debt stocks, total (DOD, current US$);Total debt service (% of exports of goods, services and primary income);Net migration;Personal remittances, received (current US$);Foreign direct investment, net inflows (BoP, current US$);Net official development assistance and official aid received (current US$);Labor force with advanced education (% of total working-age population with advanced education);Secondary education, general pupils
1990;39877570;3.0783936947649;1219090;32.8727217271596;..;..;115173368217.034;2890;251232782595.216;6300;..;63.375;3.724;95.872;..;..;62.2;..;79;..;104.805740356445;68.8843383789063;1.04732000827789;0.8;181420.9;..;29.6674107142857;4.10600304148358;2280.88281206703;6.20937283791364;3911.67265206982;126048148261.474;-0.317760426540374;15.4454404639221;3.7770561775014;35.6076007199649;18.2312412035802;23.3568517786016;..;86.9120281362782;21.1874515142874;0.014243596;..;..;74.9276260526;..;..;231224;135594375.6;-75722412.1197068;..;..;2701024
1991;40910959;2.55839629290863;1219090;33.7245867990009;..;..;123522083519.421;3020;259769206822.741;6350;..;63.265;3.618;91.064;..;..;60.9;..;85;77.0677185058594;105.604148864746;72.3145370483398;1.05122005939484;1.4;181056.9;..;29.4857142857143;3.54701579087319;2321.64604110111;5.92227622921281;3806.16841565606;135203698237.977;-1.0182449675445;15.6545219222237;3.74350458027535;34.4217067552365;17.8354850806236;22.6576311137301;..;..;20.9961429260192;0.017354763;..;..;75.6183305511;..;..;12361;129111648.6;254133621.740141;..;..;2902851
1992;41760755;2.05590495450165;1219090;34.4251086069459;..;..;137269829900.721;3290;260989209889.806;6250;..;63.341;3.479;87.002;..;..;60.1;..;85;..;..;..;..;2.1;180692.9;..;29.3040178571429;2.9726482488582;2121.27520204077;5.7178228698212;3701.46564639456;146956142398.778;-2.13703284500521;14.7140252811412;3.14920989404015;33.060858320151;15.7145549853145;20.9120993698717;..;106.386981563797;18.8799893109627;0.029956355;..;..;73.6626840831;..;..;-85560;119277252.2;3358018.17406729;..;..;2480699
1993;42525440;1.81454621703216;1219090;35.0554699156699;..;33.5;146497908095.999;3440;270992678681.204;6370;2.9;63.045;3.372;82.785;..;..;59.9;..;85;..;..;..;..;3;180328.9;..;29.1223214285714;2.72109466573998;2232.49774723083;5.79525808551305;3749.70840983656;147194766334.415;1.23355793864741;13.3642582610797;3.42257462613413;31.9307593029594;14.161207817224;21.6283156898605;..;114.312730623083;19.8688359609019;0.094061343;..;..;74.4167558396;..;..;-96947;101700241.1;11290546.0235309;270450012.207031;..;2658726
1994;43267982;1.7310430672935;1219090;35.6675778384126;..;..;156126043576.048;3610;286309087420.625;6620;..;62.612;3.258;78.896;..;82;60.4;8;76;..;109.411567687988;80.8327789306641;1.03219997882843;4;179964.9;..;28.940625;2.62944370313621;2268.84625680024;5.82621348044381;3814.22919146079;153512697970.738;3.20000000297172;9.81218708489008;3.75544808249115;31.230316330669;16.4704957860317;21.3189452868409;..;119.863847266264;19.6043743222704;0.785800456;..;..;77.0278701262;21670999666;9.36758930091833;-76997;98765754.7;374410441.074407;293079986.572266;..;3523594
1995;43986084;1.64603954100981;1219090;36.2595388635633;..;..;166096229002.693;3780;301079179796.867;6840;..;62.262;3.172;76.521;..;82;61.3;..;76;..;110.88697052002;..;..;5.2;179600.9;..;28.7589285714286;2.53460767593068;2354.00721282667;6.00761595417314;3916.51141301872;171735933897.331;3.10000000054411;10.8383194557783;3.12158524596013;30.9818655662995;17.7000132325077;22.0235699547948;..;122.798359450829;20.2955260214681;1.216293771;..;..;76.1387407181;25357999878.7;9.54104315338023;-98300;82687213.0210113;1248424932.7343;386170013.427734;..;3749449
1996;44661603;1.52408280185649;1219090;36.8163969697219;..;..;171034741934.041;3830;319018919127.927;7140;..;61.459;2.991;72.701;..;..;62.6;..;76;..;..;..;..;6.5;179236.9;..;28.7098214285714;2.40300208277616;2369.14089268135;6.13600232844307;4450.89263813482;163234919052.67;4.29999999726792;8.02208799242219;3.41658824480889;29.8899862560641;16.5683988950434;22.9647545373647;..;122.924079472061;20.9846364817904;2.133823992;..;..;77.1742877175;26050000159.4;11.5837638315913;-85040;74885755.32232;816389273.755429;362339996.337891;..;..
1997;45285048;1.38627725951906;1219090;37.3303283350782;..;..;171441003529.555;3790;332958131892.656;7350;..;60.805;2.734;68.071;..;..;64.5;..;82;..;108.843223571777;..;..;7.9;178872.9;..;28.6607142857143;2.25934493053968;2399.68205399716;6.37262877583789;4574.02628788204;168978069551.36;2.60000000146347;8.13743291858027;3.265895498876;29.2506309429667;16.2941004369842;23.054873900491;..;121.487410505159;21.2498395625278;4.054318326;..;..;76.5475236297;30633902795.8;17.2331902439244;-56052;175998209.228206;3810543923.03317;495589996.337891;..;..
1998;45852166;1.24455268099471;1219090;37.7978270367409;..;..;156902327558.447;3420;337832435798.574;7370;..;60.001;2.63;67.917;56.3;84.4;66.6;..;79;84.8704833984375;107.464241027832;86.8002014160156;1.0359799861908;9.1;178508.9;..;28.6116071428571;2.10827495435801;2354.51690548272;6.45982351193617;4388.88753914046;152982979945.103;0.50000000034143;8.07573837316775;3.03418044396185;28.576366566325;16.4278913701127;23.5980988040593;..;122.125200133018;21.9639431431796;7.27773689;..;..;74.7068796412;26014665566.3;12.1717277298192;-59065;258605546.664454;550338595.971811;515640014.648438;..;4084064
1999;46364681;1.1115545448798;1219090;38.2203142388446;..;..;154203173412.116;3330;350637642854.152;7560;..;59.241;2.559;68.485;..;..;68.6;9.8;75;79.950080871582;107.097930908203;84.5868911743164;1.0314199924469;10.3;178144.9;..;28.5625;1.96788212636932;2356.6327782995;6.00178614406945;4275.58209663947;151516952945.154;2.39999999746338;6.88883410122743;2.84639917281201;27.6656022125323;15.6550464913797;24.085492728306;..;134.766471199051;21.7599312426722;11.18955156;..;..;73.2710628634;25719811079.3;12.5005909915117;-77647;306862360.530565;1503332454.41012;543270019.53125;..;4078846
2000;46813266;0.962864025570883;1219090;38.5901013115268;..;36.8;153695246012.742;3280;373741836844.975;7980;3.1;58.47;2.413;65.691;..;..;71;..;72;81.0422515869141;101.489212036133;81.0329971313477;1.01216995716095;11.3;177780.9;..;28.421875;1.81016232925667;2329.28345567686;6.07655317191499;4399.39396665894;151752749926.331;4.20000000067826;9.18219141567356;2.61474799327768;28.2297555130289;15.0602810875446;23.0698153754344;..;133.497184143478;20.9760632464162;17.81332668;..;..;71.8056416248;26669342341.6;10.182182740887;-80388;324663747.14919;968831355.959091;490010009.765625;83.08;3943618
2007;49996094;1.01387721267549;1219090;41.2138373904657;..;..;325532410932.959;6510;590750377588.724;11820;..;54.992;2.545;58.012;..;..;74.6;..;68;..;108.024749755859;92.3353729248047;1.00362002849579;15.2;175232.9;..;31.7475961537946;1.90705812608283;2726.96447046443;7.94385857423182;4766.65237088321;333077117253.684;5.36047405394162;8.24576476611674;2.35591400504256;25.2946183090828;19.3259650755187;27.2583059687972;53;171.421418831413;24.8072372824336;84.60660947;5.95310821988951;91.1111111111111;87.2689437525;72780054578.1;4.56138181750379;36414;792351190.565225;6586792253.1097;795119995.117188;84.31;4549341
2008;50565812;1.13308133870917;1219090;41.6834793791063;62.1;18.7;331752078079.842;6560;621958344648.529;12300;2.6;56.022;2.679;70.671;..;94.3;68.3;8.6;73;..;107.526397705078;90.8973999023438;1.00006997585297;15.6;174868.9;..;32.2226991758929;2.01672235144201;2904.27629244834;8.44664968496897;4592.62871127235;316131245860.682;3.1910438863288;7.85033172851331;2.57248876696489;26.9415561091344;21.2872491181391;26.8712941110509;45;150.769179058375;24.322809870073;88.99293459;5.47982416325405;86.6666666666667;89.39148118;74251313506.7;6.38675616928906;36948;783693527.767263;9885001293.44358;1114910034.17969;86.91;4403754
2009;51170779;1.18929507013328;1219090;42.1821785687789;..;..;328521142087.838;6420;621510984850.456;12150;..;57.447;2.501;67.672;..;..;59.9;..;77;..;106.341697692871;92.5119018554688;1.00113999843597;15.9;174504.9;..;32.6978021977679;2.05708649293564;2813.4271514608;7.90204894086135;4368.11798389858;329754054488.855;-1.53808913525583;8.6630418315964;2.39949613487755;25.7430761887593;18.7669441984248;24.9965390873939;45;152.966530237752;21.8948743006162;90.74710393;5.88041075765191;81.1111111111111;95.0516405136;84350268049.6;6.37469197659187;41532;862051631.083665;7624489973.88189;1074180053.71094;86.22;4418904
2010;51784921;1.19303600363508;1219090;42.68844108846;53.2;18;352431390234.447;6810;648506796343.6;12520;2.5;58.899;2.445;67.824;..;..;51.6;..;72;..;104.729377746582;93.7371978759766;1.00054001808167;16.3;174140.9;..;33.1729052198661;2.05015046003468;2737.73527625928;8.21761222731227;4492.77503001308;417363825016.286;3.03973288127956;6.12843243160444;2.10778749314158;25.3034630993363;17.5956446037105;25.5192267165858;45;152.804989635333;22.5206038776132;97.27155903;6.23010611141484;82.2222222222222;101.4159676879;115303877747.4;5.90982301322305;68599;1069571380.61167;3693271715.48139;1036270019.53125;84.78;4471468
2011;52443325;1.26340561811428;1219090;43.2311905959162;..;..;403730296016.211;7700;680230630915.234;12970;..;60.651;2.436;72.582;..;..;45.5;..;77;..;103.418388366699;96.1824569702148;0.998080015182495;16.8;173776.9;..;33.6480082417411;2.10845537603557;2693.9106740467;7.8080537418251;4528.0500425936;458199486480.576;3.16855627858818;5.53905643151262;2.04389308620297;24.8394911507999;18.8532376550132;25.9740547550987;45;144.136406225557;22.8746700116825;122.0365009;6.20179921942913;81.1111111111111;105.0479445048;124122448597.4;5.07248431840762;65295;1158421806.40696;4139289122.68737;1396969970.70313;84.63;4534439
2012;53145033;1.32915852455183;1219090;43.8096373723302;..;..;442087802250.894;8320;680727254309.896;12810;..;61.846;2.447;71.595;..;..;41.5;..;79;..;103.229202270508;98.8268585205078;0.998199999332428;17.2;173412.9;..;34.1231112638393;2.16396302025893;2621.18691317776;8.03464925875575;4340.36798885796;434400545085.811;2.39623238465745;4.68520638813985;1.97670959546361;24.4686002355753;18.5845354435045;26.5227856834625;45;152.510513087838;23.3457659894736;128.6931179;6.68280948100635;72.2222222222222;104.2902800967;147944418727.6;8.5979920433032;68846;1084534306.3063;4626029122.40007;1065829956.05469;..;4597285
2013;53873616;1.36162110707575;1219090;44.4102383170251;..;..;433470552246.76;8050;712857594431.254;13230;..;62.533;2.428;77.424;..;..;39.6;..;78;..;102.670402526855;107.490417480469;1.01515007019043;17.5;173048.9;..;31.8883928571429;2.18167968589549;2593.83548711488;8.11643495398564;4270.81040931056;400886013595.573;2.48546800826588;5.84411140067347;1.92684924597199;24.5517417673484;19.1687625943111;27.4101862231804;45;152.640654599998;23.831391363238;142.6770351;6.52114073565841;76.6666666666667;98.7390242151;141621170405.8;11.212043783161;63794;970655337.203887;8232518815.62083;1295339965.82031;85;..
2014;54729551;1.57629422132566;1219090;45.1158207552614;55.5;20.5;401843048334.649;7340;723516271348.345;13220;2.4;63.38;2.424;83.046;..;..;38.3;..;84;..;102.704963684082;107.804122924805;1.01610994338989;17.9;172684.9;..;36.7700892857143;2.38657151241312;2686.37619555841;8.19115252745267;4183.82749019812;381198869776.106;1.41382645223793;5.36654618468381;2.12574854869936;24.3052820058227;18.4879638168327;28.8726130567165;46;156.043254004326;24.4319342176034;144.8590927;6.65905554421938;74.4444444444444;97.5357945271;149309205399.3;8.56436569067297;290874;913403103.749989;5791659020.09998;1077400024.41406;84.47;4858085
2015;55876504;2.07401685853513;1219090;46.061301304932;..;..;365987571933.616;6550;741514470950.206;13270;..;63.95;2.359;78.367;..;..;37.3;5.8;86;90.1104888916016;105.570388793945;109.444076538086;0.955309987068176;18.2;172320.9;..;41.6517857142857;2.87315334226129;..;7.60718852417825;..;346709790458.563;1.32186223678229;5.54552812339873;2.23397839045912;23.7323079746326;18.6332066638376;29.6472581887112;46;150.184488783904;25.0486927031144;157.4892588;7.40539380261538;81.1111;100;127739258548.9;25.9901625345541;644996;825253479.870489;1521139945.30532;1420270019.53125;84.01;4904846
2016;56422274;0.97200398206436;1219090;46.511201971824;..;..;336464320486.543;5960;752967564963.157;13350;..;64.747;2.261;70.813;54.6;96.7;36.6;5.9;84;87.2553329467773;103.184959411621;107.176948547363;1.01780998706818;18.4;171956.9;12.9850092764781;42.5223214285714;1.76021405295829;..;7.54458957113285;..;323585509674.481;0.664552307858116;6.9521719608848;2.41418607394576;23.7825372977493;16.9604522948246;29.0406590015195;45;150.628596756032;24.8283559884696;146.0644426;6.6554233870487;82.2222333333333;103.7795850176;144047613945.4;14.7931729056773;-866101;755434048.949775;2215307020.39541;1180280029.29688;83.43;4778550
2017;56641209;0.387278487857363;1219090;46.6916791004789;..;..;337179868240.995;5950;768262732572.038;13560;..;65.402;2.334;63.706;..;..;35.8;4.9;81;..;100.864730834961;104.697982788086;1.01267004013062;18.5;171592.9;10.2606485926041;43.2589285714286;1.16325005336645;..;7.68370781068603;..;381448814653.456;1.15794695181735;5.47332197481477;2.49379863849766;23.6105564955695;16.6107340612402;28.9131558196206;45;153.868170750976;24.76928728931;156.2424453;5.67818217009586;75.5555666666667;108.5089752105;175007312730.3;13.4773056054298;-10681;873861160.607838;2058579911.05235;1014809997.55859;84.4;4696742
2018;57339635;1.22553003994341;1219090;47.2674203892539;..;..;366216742967.73;6390;798539540675.065;13930;..;65.674;2.418;59.361;..;..;35.1;..;81;90.3444976806641;98.5389022827148;100.511169433594;1.00301003456116;18.6;171228.9;10.2606485926041;43.8392857142857;1.98949966357933;..;7.66737702463575;..;404158882459.024;1.5223293868265;3.74575414001824;2.26608871786068;23.6016261862156;16.1884435765952;28.4416643218833;40;145.978180068512;24.9627630902235;161.1938374;5.27187812352963;75.5555666666667;105.9383350354;180180197116;24.3411263516984;27265;929043381.126846;5569462350.15205;920969970.703125;83.45;..
2019;58087055;1.29507386292128;1219090;47.8835494481036;..;..;390861303561.117;6730;817853918727.212;14080;..;66.175;2.475;64.982;..;..;34.3;..;83;91.9994888305664;98.3744735717773;102.556663513184;1.00258004665375;18.6;170864.9;11.807255673899;44.6428571428571;2.04726576560918;..;7.68890762322173;..;388531226582.351;0.303453235238081;4.63808148407834;1.96213798857762;23.6378082218793;15.8532849875773;28.9570280551093;40;145.691375924757;24.918471562335;166.9433215;4.89424399708232;75.5555666666667;111.8413339402;190735244382.8;18.7086463809991;22728;890059293.728208;5116098443.48715;964869995.117188;82.73;..
2020;58801927;1.22317929511453;1219090;48.4728478513548;..;..;357870651612.19;6090;782536596459.874;13310;..;65.252;2.401;62.742;..;..;33.7;..;84;..;97.4091262817383;102.101860046387;1.00926995277405;18.4;170500.9;12.4397025793008;45.3348214285714;1.96530474552946;..;6.68756314737781;..;337619569570.511;-6.34247114929317;5.69261529432792;2.5206394472946;23.2727872976101;12.4000529574742;28.007768141005;..;140.418146552541;23.2894120114163;163.1909795;5.62086768270912;81.1111333333333;123.2853715018;175411444630.5;27.2655257388934;30852;810881603.952636;3153552569.39325;1203060058.59375;79.29;..
2021;59392255;0.998920418563044;1219090;48.9594795110008;..;..;387775417822.086;6530;855713439394.303;14410;..;62.341;2.374;61.206;..;..;32.8;..;87;..;..;..;..;18.3;170136.9;12.4858980057726;..;1.72820735429586;..;..;..;419015636064.711;4.9130966839178;6.21901712135855;2.46760956334131;24.5038885565904;12.797529874463;29.3204867749359;..;122.302676035663;25.915782055139;168.9243909;..;..;128.3226323324;170015396603.3;18.7293801467428;10934;926650843.653293;40658789144.9382;1039619995.11719;80.75;..
2022;59893885;0.841058243677696;..;..;..;..;406306964840.09;6780;932815214680.1;15570;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12.7377941014656;..;1.5577491240873;..;..;..;405869718462.343;2.04229935251898;5.0542926833629;2.57058644132083;24.4430925232425;15.1077472722654;..;..;..;..;167.3958702;..;..;..;..;..;..;872855576.231192;9194808415.59228;..;81.36;..